Unnamed: 0,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross,genres,genre_name
1,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,P/DW,217600000,277300000,2010,494900000,14,Fantasy
1,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,P/DW,217600000,277300000,2010,494900000,12,Adventure
1,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,P/DW,217600000,277300000,2010,494900000,16,Animation
1,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,P/DW,217600000,277300000,2010,494900000,10751,Family
2,"[12, 28, 878]",10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,Par.,312400000,311500000,2010,623900000,12,Adventure
2,"[12, 28, 878]",10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,Par.,312400000,311500000,2010,623900000,28,Action
2,"[12, 28, 878]",10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,Par.,312400000,311500000,2010,623900000,878,Science Fiction
4,"[28, 878, 12]",27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,WB,292600000,535700000,2010,828300000,28,Action
4,"[28, 878, 12]",27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,WB,292600000,535700000,2010,828300000,878,Science Fiction
4,"[28, 878, 12]",27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,WB,292600000,535700000,2010,828300000,12,Adventure
7,"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,BV,415000000,652000000,2010,1067000000,16,Animation
7,"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,BV,415000000,652000000,2010,1067000000,10751,Family
7,"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,BV,415000000,652000000,2010,1067000000,35,Comedy
8,"[16, 10751, 35]",20352,en,Despicable Me,23.673,2010-07-09,Despicable Me,7.2,10057,Uni.,251500000,291600000,2010,543100000,16,Animation
8,"[16, 10751, 35]",20352,en,Despicable Me,23.673,2010-07-09,Despicable Me,7.2,10057,Uni.,251500000,291600000,2010,543100000,10751,Family
8,"[16, 10751, 35]",20352,en,Despicable Me,23.673,2010-07-09,Despicable Me,7.2,10057,Uni.,251500000,291600000,2010,543100000,35,Comedy
9,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,P/DW,148400000,173500000,2010,321900000,16,Animation
9,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,P/DW,148400000,173500000,2010,321900000,28,Action
9,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,P/DW,148400000,173500000,2010,321900000,35,Comedy
9,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,P/DW,148400000,173500000,2010,321900000,10751,Family
9,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,P/DW,148400000,173500000,2010,321900000,878,Science Fiction
12,"[53, 12, 28]",27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,LGF,103100000,171400000,2010,274500000,53,Thriller
12,"[53, 12, 28]",27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,LGF,103100000,171400000,2010,274500000,12,Adventure
12,"[53, 12, 28]",27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,LGF,103100000,171400000,2010,274500000,28,Action
13,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,BV,200800000,391000000,2010,591800000,16,Animation
13,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,BV,200800000,391000000,2010,591800000,10751,Family
15,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6,4909,Sum.,300500000,398000000,2010,698500000,12,Adventure
15,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6,4909,Sum.,300500000,398000000,2010,698500000,14,Fantasy
15,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6,4909,Sum.,300500000,398000000,2010,698500000,18,Drama
15,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6,4909,Sum.,300500000,398000000,2010,698500000,10749,Romance
16,"[28, 53, 878]",20504,en,The Book of Eli,18.985,2010-01-11,The Book of Eli,6.7,3495,WB,94800000,62300000,2010,157100000,28,Action
16,"[28, 53, 878]",20504,en,The Book of Eli,18.985,2010-01-11,The Book of Eli,6.7,3495,WB,94800000,62300000,2010,157100000,53,Thriller
16,"[28, 53, 878]",20504,en,The Book of Eli,18.985,2010-01-11,The Book of Eli,6.7,3495,WB,94800000,62300000,2010,157100000,878,Science Fiction
19,"[18, 53, 9648]",11324,en,Shutter Island,18.06,2010-02-18,Shutter Island,8.1,12625,Par.,128000000,166800000,2010,294800000,18,Drama
19,"[18, 53, 9648]",11324,en,Shutter Island,18.06,2010-02-18,Shutter Island,8.1,12625,Par.,128000000,166800000,2010,294800000,53,Thriller
19,"[18, 53, 9648]",11324,en,Shutter Island,18.06,2010-02-18,Shutter Island,8.1,12625,Par.,128000000,166800000,2010,294800000,9648,Mystery
22,"[12, 10751, 14]",10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Fox,104400000,311300000,2010,415700000,12,Adventure
22,"[12, 10751, 14]",10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Fox,104400000,311300000,2010,415700000,10751,Family
22,"[12, 10751, 14]",10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Fox,104400000,311300000,2010,415700000,14,Fantasy
24,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Fox,77200000,100000000,2010,177200000,53,Thriller
24,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Fox,77200000,100000000,2010,177200000,28,Action
24,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Fox,77200000,100000000,2010,177200000,12,Adventure
24,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Fox,77200000,100000000,2010,177200000,35,Comedy
24,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Fox,77200000,100000000,2010,177200000,80,Crime
25,"[18, 36]",45269,en,The King's Speech,16.798,2010-09-06,The King's Speech,7.7,5013,Wein.,135500000,275400000,2010,410900000,18,Drama
25,"[18, 36]",45269,en,The King's Speech,16.798,2010-09-06,The King's Speech,7.7,5013,Wein.,135500000,275400000,2010,410900000,36,History
27,"[28, 12, 10751, 14]",10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,Par.,131800000,187900000,2010,319700000,28,Action
27,"[28, 12, 10751, 14]",10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,Par.,131800000,187900000,2010,319700000,12,Adventure
27,"[28, 12, 10751, 14]",10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,Par.,131800000,187900000,2010,319700000,10751,Family
27,"[28, 12, 10751, 14]",10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,Par.,131800000,187900000,2010,319700000,14,Fantasy
28,"[28, 878, 12, 53]",34851,en,Predators,16.216,2010-07-03,Predators,6.1,1979,Fox,52000000,75200000,2010,127200000,28,Action
28,"[28, 878, 12, 53]",34851,en,Predators,16.216,2010-07-03,Predators,6.1,1979,Fox,52000000,75200000,2010,127200000,878,Science Fiction
28,"[28, 878, 12, 53]",34851,en,Predators,16.216,2010-07-03,Predators,6.1,1979,Fox,52000000,75200000,2010,127200000,12,Adventure
28,"[28, 878, 12, 53]",34851,en,Predators,16.216,2010-07-03,Predators,6.1,1979,Fox,52000000,75200000,2010,127200000,53,Thriller
29,[18],37799,en,The Social Network,15.889,2010-10-01,The Social Network,7.2,6116,Sony,97000000,128000000,2010,225000000,18,Drama
35,"[35, 10749]",34806,en,The Back-Up Plan,15.49,2010-04-23,The Back-Up Plan,6,806,CBS,37500000,40000000,2010,77500000,35,Comedy
35,"[35, 10749]",34806,en,The Back-Up Plan,15.49,2010-04-23,The Back-Up Plan,6,806,CBS,37500000,40000000,2010,77500000,10749,Romance
36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,Uni.,105300000,216400000,2010,321700000,28,Action
36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,Uni.,105300000,216400000,2010,321700000,12,Adventure
36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,Uni.,105300000,216400000,2010,321700000,18,Drama
38,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,P/DW,238700000,513900000,2010,752600000,35,Comedy
38,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,P/DW,238700000,513900000,2010,752600000,12,Adventure
38,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,P/DW,238700000,513900000,2010,752600000,14,Fantasy
38,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,P/DW,238700000,513900000,2010,752600000,16,Animation
38,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,P/DW,238700000,513900000,2010,752600000,10751,Family
39,[35],37735,en,Easy A,14.69,2010-09-17,Easy A,6.8,4168,SGem,58400000,16600000,2010,75000000,35,Comedy
40,"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,BV,63200000,152100000,2010,215300000,14,Fantasy
40,"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,BV,63200000,152100000,2010,215300000,12,Adventure
40,"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,BV,63200000,152100000,2010,215300000,28,Action
40,"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,BV,63200000,152100000,2010,215300000,35,Comedy
40,"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,BV,63200000,152100000,2010,215300000,18,Drama
41,"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,Uni.,31500000,16100000,2010,47600000,28,Action
41,"[28, 35, 10749]",22538,en,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,Uni.,31500000,16100000,2010,47600000,35,Comedy
